시도교육청,교육지원청,학교명,학교급,설립구분,학교특성,개교기념일,학교도로명 주소,전화번호,홈페이지 주소,24년 학생수,24년 1인당 기본적 교육활동비,24년 1인당 선택적 교육활동비,24년 1인당 교육비,23년 학생수,23년 1인당 기본적 교육활동비,23년 1인당 선택적 교육활동비,23년 1인당 교육비,22년 학생수,22년 1인당 기본적 교육활동비,22년 1인당 선택적 교육활동비,22년 1인당 교육비
강원특별자치도교육청,강원특별자치도교육청,강릉정보공업고등학교,고등학교,공립,특성화고등학교,19691122.0,강원특별자치도 강릉시 주문진읍 학교길 26,033-660-5511,http://git.gwe.hs.kr/,195.0,1485206.1538461538,1889525.128205128,3374731.282051282,208.0,1605428.9903846155,1257782.451923077,2863211.4423076925,228.0,1748059.3421052631,2343389.692982456,4091449.03508772
강원특별자치도교육청,강원특별자치도교육청,강릉제일고등학교,고등학교,공립,일반고등학교,19380319.0,강원도 강릉시 화부산로8번길 37,033-650-0100,gnilgo.gwe.hs.kr,452.0,1377036.0840707964,357599.4690265487,1734635.5530973447,455.0,1094406.9010989012,278576.065934066,1372982.9670329671,446.0,726019.5067264574,364430.067264574,1090449.5739910314
강원특별자치도교육청,강원특별자치도교육청,강릉중앙고등학교,고등학교,공립,특성화고등학교,19280701.0,강원특별자치도 강릉시 강변로 422,033-610-6600,http://gja.gwe.hs.kr,397.0,3105138.2871536524,6886356.171284635,9991494.458438287,477.0,3653805.3144654087,1782348.1551362684,5436153.469601677,541.0,3591537.707948244,1805719.7597042515,5397257.467652496
강원특별자치도교육청,강원특별자치도교육청,강원고등학교,고등학교,사립,일반고등학교,19590410.0,강원도 춘천시 동면 장학길 24,033-258-4600,www.kanggo.net,624.0,1172409.1826923075,729429.8397435897,1901839.0224358973,607.0,783260.0329489291,923282.0263591432,1706542.0593080726,585.0,385416.8888888889,764554.358974359,1149971.247863248
강원특별자치도교육청,강원특별자치도교육청,강원과학고등학교,고등학교,공립,특수목적고등학교,19930310.0,강원도 원주시 치악로 2242,033-740-9700,http://kangwon-sh.gwe.hs.kr/,165.0,5206554.218181818,1043760.0,6250314.218181818,163.0,5968781.840490798,1873955.9018404908,7842737.74233129,163.0,2051035.3803680984,982494.2576687117,3033529.63803681
강원특별자치도교육청,강원특별자치도교육청,강원생명과학고등학교,고등학교,공립,특성화고등학교,19100429.0,강원도 춘천시 영서로 2872,033-258-5888,http://gangwonbios.gwe.hs.kr,200.0,7360033.25,1108008.05,8468041.3,204.0,12370757.450980391,979579.4607843136,13350336.911764706,218.0,8894478.321100915,704020.7935779816,9598499.114678899
강원특별자치도교육청,강원특별자치도교육청,강원생활과학고등학교,고등학교,공립,특성화고등학교,19740105.0,강원특별자치도 홍천군 남면 새작들길 11,033-439-3646,https://gangwonps.gwe.hs.kr,155.0,1514950.322580645,2955179.935483871,4470130.258064516,159.0,2199751.886792453,1911335.6603773583,4111087.547169812,174.0,2122564.7701149425,2084694.08045977,4207258.850574712
강원특별자치도교육청,강원특별자치도교육청,강원애니고등학교,고등학교,공립,특성화고등학교,20100301.0,강원특별자치도 춘천시 서면 박사로 1025,033-248-5500,http://anischool.gwe.hs.kr,165.0,5626220.121212121,1384291.2727272727,7010511.393939394,175.0,2695857.5428571426,2159083.1542857145,4854940.697142857,179.0,9781144.97206704,774780.6145251396,10555925.58659218
강원특별자치도교육청,강원특별자치도교육청,강원예술고등학교,고등학교,공립,특수목적고등학교,20010301.0,강원특별자치도 강릉시 구정면 칠봉로 670-34,033-650-2700,http://gwarts.gwe.hs.kr,158.0,3997190.8227848094,3563987.658227848,7561178.481012657,168.0,4768942.619047619,2525564.494047619,7294507.113095239,174.0,4363573.9655172415,1826656.0344827587,6190230.0
강원특별자치도교육청,강원특별자치도교육청,강원외국어고등학교,고등학교,사립,일반고등학교,20100301.0,강원특별자치도 양구군 양구읍 금강산로 437-12,033-481-0500,http://gf.gwe.hs.kr/,288.0,6372484.965277778,981154.0277777776,7353638.993055556,288.0,4787219.861111111,1091690.5555555555,5878910.416666666,307.0,1540297.0684039088,1229248.045602606,2769545.1140065147
강원특별자치도교육청,강원특별자치도교육청,강원체육고등학교,고등학교,공립,특수목적고등학교,19920302.0,강원도 춘천시 자라우새길 126,033-250-9330,http://gangwon-ph.gwe.hs.kr,224.0,858012.7232142858,7381823.482142857,8239836.205357143,215.0,502815.1627906977,6945484.976744185,7448300.139534883,204.0,310433.3823529412,10551586.421568628,10862019.803921567
강원특별자치도교육청,강원특별자치도교육청,강일여자고등학교,고등학교,사립,일반고등학교,19640504.0,강원특별자치도 강릉시 화부산로 89,033-650-0701,http://gangil.gwe.hs.kr,654.0,824653.7920489296,749489.1284403668,1574142.9204892963,661.0,970244.9319213312,313226.86838124046,1283471.8003025718,667.0,919188.4857571215,167141.30434782608,1086329.7901049475
강원특별자치도교육청,강원특별자치도교육청,거진고등학교,고등학교,공립,특성화고등학교,19640210.0,강원특별자치도 고성군 거진읍 거탄진로 39-7,033-680-1703,https://geojin.gwe.hs.kr,44.0,2266650.4545454546,14908330.227272728,17174980.68181818,28.0,3700809.2857142854,5537837.5,9238646.785714285,28.0,4633158.571428572,5538125.714285715,10171284.285714287
강원특별자치도교육청,강원특별자치도교육청,경포고등학교,고등학교,공립,일반고등학교,19821130.0,강원특별자치도 강릉시 강릉대로547번길 14,033-820-1015,http://gyeongpo.gwe.hs.kr/,528.0,1104519.1666666667,272840.0378787879,1377359.2045454546,519.0,753886.2928709056,279481.46628131013,1033367.7591522158,522.0,621728.5977011494,241736.4367816092,863465.0344827586
강원특별자치도교육청,강원특별자치도교육청,고성고등학교,고등학교,공립,일반고등학교,19580525.0,강원특별자치도 고성군 간성읍 수성로 125,033-680-7006,http://goseonggo.gwe.hs.kr,213.0,1535732.2535211267,587162.8169014085,2122895.0704225358,225.0,1850152.0,617557.4666666667,2467709.466666667,227.0,1463995.550660793,526652.6431718061,1990648.193832599
강원특별자치도교육청,강원특별자치도교육청,고한고등학교,고등학교,공립,일반고등학교,19790131.0,강원도 정선군 고한읍 고한9길 160,033-590-8416,http://gohan.gwe.hs.kr,59.0,4303450.0,782613.220338983,5086063.220338984,54.0,2186832.407407407,860942.4074074074,3047774.8148148144,39.0,1465347.435897436,1227391.0256410255,2692738.461538462
강원특별자치도교육청,강원특별자치도교육청,기린고등학교,고등학교,공립,일반고등학교,19720114.0,강원특별자치도 인제군 기린면 창암길 20,033-460-0251,http://girin.gwe.hs.kr/,81.0,1675278.888888889,3864058.2716049375,5539337.160493827,69.0,2170333.333333333,2212260.2898550723,4382593.623188406,73.0,1618694.6575342466,859468.0821917808,2478162.7397260275
강원특별자치도교육청,강원특별자치도교육청,김화고등학교,고등학교,공립,일반고등학교,19791121.0,강원특별자치도 철원군 서면 와수1로 90,033-458-4231,http://gimhwa.gwe.hs.kr,172.0,966408.2558139535,1005214.2441860464,1971622.5,174.0,973994.367816092,909286.0344827586,1883280.4022988505,169.0,606922.7810650888,721593.1360946746,1328515.9171597634
강원특별자치도교육청,강원특별자치도교육청,내면고등학교,고등학교,공립,일반고등학교,19831121.0,강원도 홍천군 내면 구룡령로 5174,033-439-3908,http://naemyeon.gwe.hs.kr/main.do ,17.0,7308531.176470588,4321286.470588235,11629817.647058822,15.0,3520453.333333333,6664962.666666667,10185416.0,19.0,1609123.6842105263,4119820.5263157897,5728944.210526316
강원특별자치도교육청,강원특별자치도교육청,대성고등학교,고등학교,사립,일반고등학교,19540507.0,강원특별자치도 원주시 북원로 2001,033-737-6312,http://daesunggo.gwe.hs.kr,873.0,1175416.4146620848,211102.42840778924,1386518.843069874,860.0,689349.3488372093,172105.86046511628,861455.2093023255,822.0,788948.9659367397,255152.06812652067,1044101.0340632604
강원특별자치도교육청,강원특별자치도교육청,대진고등학교,고등학교,공립,일반고등학교,19810301.0,강원특별자치도 고성군 현내면 화진포길 476,033-680-6659,http://daejin.gwe.hs.kr,15.0,2473963.333333333,4493205.333333333,6967168.666666666,17.0,2234457.647058824,4527272.352941177,6761730.0,21.0,3591560.476190476,2785594.2857142854,6377154.761904761
강원특별자치도교육청,강원특별자치도교육청,대화고등학교,고등학교,공립,일반고등학교,19680123.0,강원도 평창군 대화면 대화중앙로 32-8,033-333-2762,daehwa.gwe.hs.kr,93.0,2428025.698924731,295139.5698924731,2723165.268817204,87.0,1870453.908045977,396144.8275862069,2266598.735632184,89.0,1140905.9550561798,713956.7415730337,1854862.6966292136
강원특별자치도교육청,강원특별자치도교육청,도계고등학교,고등학교,공립,일반고등학교,19670411.0,강원특별자치도 삼척시 도계읍 도계느티로 69,033-540-0815,http://dogye.gwe.hs.kr/,120.0,3471739.583333333,1725800.25,5197539.833333334,114.0,2437837.456140351,480828.33333333326,2918665.7894736845,116.0,1929536.948275862,602521.2068965518,2532058.1551724137
강원특별자치도교육청,강원특별자치도교육청,도계전산정보고등학교,고등학교,공립,특성화고등학교,19741227.0,강원특별자치도 삼척시 도계읍 도계느티로 24,033-540-1000,http://dgs.gwe.hs.kr,19.0,5126862.105263158,5338578.947368421,10465441.05263158,27.0,9859810.370370371,3882448.518518519,13742258.88888889,28.0,3969911.0714285714,5632473.571428572,9602384.642857144
강원특별자치도교육청,강원특별자치도교육청,동광산업과학고등학교,고등학교,공립,특성화고등학교,19540401.0,강원특별자치도 고성군 토성면 백촌길 30-15,033-630-3150,http://dongat.gwe.hs.kr,133.0,2187989.69924812,6738318.270676692,8926307.969924811,122.0,1786292.950819672,1929796.8852459013,3716089.8360655736,119.0,2356012.268907563,1954480.4201680676,4310492.68907563
강원특별자치도교육청,강원특별자치도교육청,동해광희고등학교,고등학교,사립,일반고등학교,19811125.0,강원도 동해시 청운로 112,033-520-0706,http://dhkh.gwe.hs.kr/,604.0,863866.5397350993,997711.3741721854,1861577.9139072848,607.0,908865.3212520592,463285.73311367375,1372151.0543657332,620.0,843803.2903225806,322003.1612903226,1165806.4516129033
강원특별자치도교육청,강원특별자치도교육청,동해삼육고등학교,고등학교,사립,일반고등학교,19811125.0,강원도 동해시 동해대로 5367,033-531-3206,http://dhsy.gwe.hs.kr,107.0,1073442.0560747664,599404.1121495328,1672846.168224299,93.0,1942847.0967741932,635414.8387096776,2578261.935483871,93.0,2103952.0430107526,1007039.1397849462,3110991.1827956988
강원특별자치도교육청,강원특별자치도교육청,동해상업고등학교,고등학교,공립,특성화고등학교,19700525.0,강원특별자치도 동해시 느릅재길 65,033-520-2666,http://donghae.gwe.hs.kr,139.0,2332724.3525179857,1700722.5899280575,4033446.9424460432,137.0,1553648.2481751824,785853.4306569343,2339501.6788321165,135.0,2238791.9259259254,1687388.9629629627,3926180.888888889
강원특별자치도교육청,강원특별자치도교육청,둔내고등학교,고등학교,공립,일반고등학교,19671005.0,강원도 횡성군 둔내면 둔내로 22,033-342-1197,dunnae.gwe.hs.kr,58.0,1287818.7931034483,1827735.1724137927,3115553.965517241,57.0,1468982.105263158,1893469.1228070173,3362451.2280701757,59.0,1552203.7288135593,2628367.118644068,4180570.8474576273
강원특별자치도교육청,강원특별자치도교육청,마차고등학교,고등학교,공립,일반고등학교,19580717.0,강원도 영월군 북면 문학로길 25-8,033-372-3971,http://macha.gwe.hs.kr,38.0,3102064.210526316,1588902.105263158,4690966.315789473,44.0,2120567.727272727,962262.7272727274,3082830.454545454,49.0,1515245.7142857143,1099069.591836735,2614315.3061224488
강원특별자치도교육청,강원특별자치도교육청,묵호고등학교,고등학교,공립,일반고등학교,19540906.0,강원도 동해시 승지로 37,033-530-7104,mukho.gwe.hs.kr,458.0,866703.9519650654,742929.7816593888,1609633.733624454,469.0,735215.3944562899,702514.0298507463,1437729.4243070362,459.0,866464.7276688453,230125.8823529412,1096590.6100217863
강원특별자치도교육청,강원특별자치도교육청,문막고등학교,고등학교,공립,일반고등학교,20101030.0,강원특별자치도 원주시 문막읍 문막시장1길 58,033-734-1348,http://munmak.gwe.hs.kr,233.0,964962.5321888413,551491.2017167382,1516453.7339055794,224.0,881051.9196428572,363245.6696428572,1244297.5892857143,211.0,899087.7725118484,239299.0995260664,1138386.8720379148
강원특별자치도교육청,강원특별자치도교육청,미래고등학교,고등학교,공립,특성화고등학교,19911015.0,강원특별자치도 원주시 고문골길 54,033-747-6162,https://mirae.gwe.hs.kr/,573.0,1969431.797556719,2340276.1954624783,4309707.993019197,601.0,1313943.4608985025,2284213.444259567,3598156.90515807,597.0,1598688.0737018425,2100145.326633166,3698833.400335008
강원특별자치도교육청,강원특별자치도교육청,민족사관고등학교,고등학교,사립,자율고등학교,19951016.0,강원특별자치도 횡성군 안흥면 봉화로,033-343-1115,http://www.minjok.hs.kr,451.0,3599785.1507760533,728672.33481153,4328457.485587583,453.0,4719846.324503311,727617.1258278146,5447463.4503311245,453.0,1658625.604856512,681107.2317880795,2339732.836644592
강원특별자치도교육청,강원특별자치도교육청,봉의고등학교,고등학교,공립,일반고등학교,19861111.0,강원특별자치도 춘천시 후석로250번길 22,033-815-0100,http://bongeui.gwe.hs.kr,761.0,965749.7240473062,241932.72010512484,1207682.444152431,756.0,979800.2380952381,212004.25925925927,1191804.4973544974,732.0,693327.281420765,192550.91530054645,885878.1967213113
강원특별자치도교육청,강원특별자치도교육청,봉평고등학교,고등학교,공립,일반고등학교,19810501.0,강원도 평창군 봉평면 기풍4길 27-6,033-339-7800,http://bongpyeong.gwe.hs.kr/,93.0,1746995.6989247312,2022919.677419355,3769915.3763440866,98.0,2912919.897959184,1897080.918367347,4810000.816326531,96.0,1820637.3958333333,1526318.125,3346955.520833333
강원특별자치도교육청,강원특별자치도교육청,북원여자고등학교,고등학교,공립,일반고등학교,19811228.0,강원도 원주시 원문로137번길 32,033-737-7302,http://bukwon.gwe.hs.kr,1019.0,1071255.3385672227,184855.1913640824,1256110.5299313052,1029.0,1107736.0349854229,170188.7366375121,1277924.7716229353,992.0,537189.8991935484,179503.55846774194,716693.4576612903
강원특별자치도교육청,강원특별자치도교육청,북평고등학교,고등학교,공립,일반고등학교,19461210.0,강원도 동해시 효자남길 51,033-520-8888,bukpyeong.gwe.hs.kr,549.0,2196266.8488160293,291193.897996357,2487460.7468123864,547.0,1285465.904936015,331808.73857404024,1617274.6435100548,536.0,687561.1567164179,350005.7835820896,1037566.9402985076
강원특별자치도교육청,강원특별자치도교육청,북평여자고등학교,고등학교,공립,일반고등학교,19610426.0,강원도 동해시 동굴로 55,"530-7501,530-7508",http://bukyo.gwe.hs.kr,442.0,1226491.3122171946,372841.9230769231,1599333.2352941176,477.0,949711.0901467504,341368.70020964363,1291079.790356394,472.0,1029648.75,254964.5127118644,1284613.2627118644
강원특별자치도교육청,강원특별자치도교육청,사내고등학교,고등학교,공립,일반고등학교,19781229.0,강원특별자치도 화천군 사내면 포화로 1093,033-440-4273,http://sanae.gwe.hs.kr,97.0,2579364.9484536084,494620.3092783505,3073985.2577319588,96.0,2373156.145833333,401933.33333333326,2775089.479166667,98.0,1619981.7346938776,480193.8775510204,2100175.612244898
강원특별자치도교육청,강원특별자치도교육청,사북고등학교,고등학교,공립,일반고등학교,19730301.0,강원특별자치도 정선군 사북읍 소금강로 3640,033-590-0101,http://sabuk.gwe.hs.kr,113.0,1494494.6017699116,600677.9646017699,2095172.5663716816,125.0,1360585.44,512518.4,1873103.84,127.0,1731118.5826771653,200383.46456692912,1931502.0472440943
강원특별자치도교육청,강원특별자치도교육청,삼일고등학교,고등학교,사립,일반고등학교,19810302.0,강원특별자치도 삼척시 사직로 22,033-570-8831,samilgo.gwe.hs.kr,215.0,963315.8139534884,3252961.041860465,4216276.855813953,219.0,1693732.0547945206,1669891.3698630135,3363623.4246575343,216.0,1241538.7037037036,1368435.3703703703,2609974.0740740737
강원특별자치도교육청,강원특별자치도교육청,삼척고등학교,고등학교,공립,일반고등학교,19630315.0,강원도 삼척시 사대안길 21,033-570-8999,http://samchok.gwe.hs.kr/,367.0,933320.2997275203,586610.7356948229,1519931.0354223433,375.0,977730.3733333333,405235.52,1382965.8933333333,359.0,887310.1114206128,357730.72423398326,1245040.835654596
강원특별자치도교육청,강원특별자치도교육청,삼척여자고등학교,고등학교,공립,일반고등학교,19530615.0,강원특별자치도 삼척시 남산길 6,033-570-8700,http://sam-g.gwe.hs.kr,393.0,1259126.437659033,351122.18829516537,1610248.6259541984,420.0,984308.4761904762,506795.5238095238,1491104.0,449.0,841174.810690423,704474.8106904231,1545649.6213808462
강원특별자치도교육청,강원특별자치도교육청,상동고등학교,고등학교,공립,일반고등학교,19551231.0,강원특별자치도 영월군 상동읍 태백산로 3147,033-378-2521,http://sangdong.gwe.hs.kr,29.0,2765755.5172413792,33710724.48275862,36476480.0,3.0,16273046.666666666,149769156.66666666,166042203.3333333,5.0,4999734.0,5230280.0,10230014.0
강원특별자치도교육청,강원특별자치도교육청,상지대관령고등학교,고등학교,사립,일반고등학교,19740408.0,강원특별자치도 평창군 대관령면 해당화3길 24,033-335-5091,http://dhs.gwe.hs.kr,77.0,3871265.207792208,7778292.636363635,11649557.844155844,76.0,3657792.894736842,6859921.184210527,10517714.078947367,75.0,3264130.6666666665,5618172.666666667,8882303.333333334
강원특별자치도교육청,강원특별자치도교육청,상지여자고등학교,고등학교,사립,일반고등학교,19670306.0,강원특별자치도 원주시 개운4길 25,033-761-7979,http://sangjigo.gwe.hs.kr,935.0,1195569.35828877,165979.2513368984,1361548.6096256685,924.0,917166.2337662335,134945.34632034632,1052111.58008658,888.0,861113.2995495496,95789.24549549549,956902.5450450451
강원특별자치도교육청,강원특별자치도교육청,서석고등학교,고등학교,공립,일반고등학교,19671005.0,강원도 홍천군 서석면 구룡령로 2570,033-439-3801,http://seoseokhs.gwe.hs.kr,43.0,4807026.279069767,744822.5581395349,5551848.837209302,46.0,1997279.5652173916,1239531.3043478262,3236810.8695652178,54.0,1118701.111111111,1131437.4074074074,2250138.5185185187
강원특별자치도교육청,강원특별자치도교육청,석정여자고등학교,고등학교,사립,일반고등학교,19610511.0,강원특별자치도 영월군 영월읍 영월로 1914-11,033-370-4444,https://sjg.gwe.hs.kr,201.0,1617538.0597014923,379819.80099502485,1997357.8606965172,215.0,1774778.7441860463,371329.8139534884,2146108.5581395347,236.0,1256104.745762712,351818.8559322034,1607923.6016949152
강원특별자치도교육청,강원특별자치도교육청,설악고등학교,고등학교,공립,일반고등학교,19691122.0,강원특별자치도 속초시 청대로 219,033-630-0300,http://seorak.gwe.hs.kr,557.0,617194.9910233393,1408814.1472172353,2026009.1382405744,572.0,500115.43706293707,1348472.3076923075,1848587.7447552448,628.0,636879.8248407643,1392356.050955414,2029235.8757961784
강원특별자치도교육청,강원특별자치도교육청,섬강고등학교,고등학교,공립,일반고등학교,20250302.0,강원특별자치도 원주시 지정면 신지정로 124,033-904-8888,http://seomgang.gwe.hs.kr,,,,,,,,,,,,
강원특별자치도교육청,강원특별자치도교육청,성수고등학교,고등학교,사립,일반고등학교,19580405.0,강원특별자치도 춘천시 중앙로68번길 21,033-245-7500,seongsu.gwe.hs.kr,628.0,1811165.0318471335,110487.46815286623,1921652.5,608.0,1377448.125,76391.34868421053,1453839.4736842106,585.0,549775.452991453,144142.8376068376,693918.2905982905
강원특별자치도교육청,강원특별자치도교육청,성수여자고등학교,고등학교,사립,일반고등학교,19680405.0,강원특별자치도 춘천시 학당길 28,033-245-7600,ssg.gwe.hs.kr,485.0,1842914.5567010308,74096.4329896907,1917010.9896907213,473.0,1433168.8372093022,70330.63424947146,1503499.4714587736,455.0,629121.934065934,154013.62637362638,783135.5604395603
강원특별자치도교육청,강원특별자치도교육청,속초고등학교,고등학교,공립,일반고등학교,19520602.0,강원특별자치도 속초시 사진용촌길 42,033-634-6000,http://sokcho.gwe.hs.kr ,641.0,826765.8814352573,624783.2449297972,1451549.1263650546,669.0,719421.9730941704,522757.8475336323,1242179.8206278028,677.0,651540.2954209748,401198.27178729686,1052738.5672082717
강원특별자치도교육청,강원특별자치도교육청,속초여자고등학교,고등학교,공립,일반고등학교,19630320.0,강원특별자치도 속초시 배움터길 16,033-634-3210,http://sokcho-gh.gwe.hs.kr,664.0,1363554.9548192772,169233.0873493976,1532788.0421686748,652.0,924650.4294478528,248704.52453987728,1173354.9539877302,666.0,815761.8018018019,141614.26426426426,957376.066066066
강원특별자치도교육청,강원특별자치도교육청,신남고등학교,고등학교,공립,일반고등학교,19810401.0,강원도 인제군 남면 신남로 47-35,033-461-6234,http://sinnam.gwe.hs.kr,35.0,2225364.571428572,4222070.2857142845,6447434.857142856,47.0,1625622.1276595744,4301498.936170213,5927121.063829787,48.0,1058981.875,829253.75,1888235.625
강원특별자치도교육청,강원특별자치도교육청,신철원고등학교,고등학교,공립,일반고등학교,19570520.0,강원특별자치도 철원군 갈말읍 명성로149번길 64,033-450-1400,http://scw.gwe.hs.kr,224.0,879317.6339285715,1313522.232142857,2192839.8660714286,237.0,1127582.3628691982,868440.8016877637,1996023.164556962,254.0,1093348.346456693,537336.811023622,1630685.1574803153
강원특별자치도교육청,강원특별자치도교육청,안흥고등학교,고등학교,공립,일반고등학교,19781229.0,강원도 횡성군 안흥면 서동로 1121,033-342-4007,http://anheung.gwe.hs.kr/,37.0,2996634.5945945946,1357542.972972973,4354177.567567567,33.0,3158084.8484848486,1834015.4545454544,4992100.303030303,35.0,3053046.2857142854,1947146.0,5000192.2857142845
강원특별자치도교육청,강원특별자치도교육청,양구고등학교,고등학교,공립,일반고등학교,19550705.0,강원도 양구군 양구읍 중심로 115,033-480-3450,http://yanggu.gwe.hs.kr,201.0,1745119.4029850746,1180738.9054726367,2925858.308457712,202.0,1461200.0495049504,680981.9306930694,2142181.98019802,201.0,1031787.5621890548,1336353.2338308457,2368140.7960199006
강원특별자치도교육청,강원특별자치도교육청,양구여자고등학교,고등학교,공립,일반고등학교,19741004.0,강원특별자치도 양구군 양구읍 박수근로 327,033-480-1668,http://yanggugirl.gwe.hs.kr,173.0,1599648.2080924856,345390.17341040465,1945038.3815028905,171.0,1386345.9064327483,390138.8304093568,1776484.7368421052,201.0,1333394.1791044776,322870.69651741296,1656264.8756218906
강원특별자치도교육청,강원특별자치도교육청,양양고등학교,고등학교,공립,일반고등학교,19541231.0,강원특별자치도 양양군 양양읍 복개길 23-12,033-670-8600,http://yang.gwe.hs.kr,411.0,1446530.7372262774,1132462.2384428224,2578992.9756691,407.0,1465922.972972973,798364.348894349,2264287.321867322,407.0,1162846.240786241,945402.972972973,2108249.2137592137
강원특별자치도교육청,강원특별자치도교육청,양양여자고등학교,고등학교,공립,일반고등학교,19560410.0,강원특별자치도 양양군 양양읍 서문3길 12,033-670-0357,http://yangyang-g.gwe.hs.kr,,,,,,,,,,,,
강원특별자치도교육청,강원특별자치도교육청,여량고등학교,고등학교,공립,일반고등학교,19811125.0,강원특별자치도 정선군 여량면 여량7길 42,033-562-4124,http://yoerang.gwe.hs.kr,14.0,35813114.28571428,4724494.2857142845,40537608.57142857,14.0,5117206.428571428,1291945.7142857143,6409152.142857144,14.0,6559714.7857142845,1119142.142857143,7678856.928571427
강원특별자치도교육청,강원특별자치도교육청,영서고등학교,고등학교,공립,특성화고등학교,19410505.0,강원특별자치도 원주시 치악로 1384,033-769-5020,yeongseo.gwe.hs.kr,565.0,2203416.849557522,831702.6371681414,3035119.486725664,569.0,2262892.425307557,622539.0509666081,2885431.4762741653,642.0,2146801.728971963,795409.2056074766,2942210.9345794395
강원특별자치도교육청,강원특별자치도교육청,영월고등학교,고등학교,공립,일반고등학교,19721226.0,강원특별자치도 영월군 영월읍 오무개길 51,033-370-5005,http://youngwol.gwe.hs.kr,253.0,1178366.0869565215,253581.2252964427,1431947.3122529644,271.0,990220.774907749,343037.1955719557,1333257.970479705,269.0,1569760.2602230485,299417.06319702603,1869177.3234200743
